domain,page,page_title,pageviews
www.muni.org,www.muni.org/pages/default.aspx,"Anchorage, Alaska: The Official Municipality of Anchorage, Alaska website",19595
www.muni.org,www.muni.org/departments/library/pages/default.aspx,Library,13560
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/mapsandschedules.aspx,MapsAndSchedules,10854
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/default.aspx,People Mover,4443
www.muni.org,www.muni.org/departments/finance/property_appraisal/pages/default.aspx,Property Appraisal,4139
www.muni.org,www.muni.org/departments/employee_relations/pages/jol.aspx,Jobs,3885
www.muni.org,www.muni.org/searchcenter/pages/results.aspx,Results,3104
www.muni.org,www.muni.org/pages/propertyinformation.aspx,Property Information,2724
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/adoptingapet.aspx,Adopting a Pet,2563
www.muni.org,www.muni.org/departments/police/pages/default.aspx,Anchorage Police Department,2553
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/realestatepropertytaxes.aspx,Real Estate Property Taxes,2539
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/default.aspx,Animal Control,2367
www.muni.org,www.muni.org/departments/pages/default.aspx,MOA Departments Divisions and Offices,2260
www.muni.org,www.muni.org/departments/sws/pages/default.aspx,Solid Waste Services,1855
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route75.aspx,Route75,1721
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/default.aspx,Property Taxes,1681
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route45.aspx,Route45,1625
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route7.aspx,Route7,1606
www.muni.org,www.muni.org/departments/purchasing/pages/bidding.aspx,Current Bidding Opportunities,1598
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route3.aspx,Route 3,1524
www.muni.org,www.muni.org/departments/finance/property_appraisal/business/pages/default.aspx,Business Personal Property Appraisal,1428
www.muni.org,www.muni.org/departments/library/pages/loussaclibrary.aspx,Z.J. Loussac Public Library,1205
www.muni.org,www.muni.org/departments/finance/property_appraisal/business/pages/efiling.aspx,Business Personal Property E-filing,1196
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route2.aspx,Route2,1155
www.muni.org,www.muni.org/departments/finance/property_appraisal/pages/propinfo.aspx,Property Information Research,1149
