domain,page,page_title,pageviews
www.muni.org,www.muni.org/pages/default.aspx,"Anchorage, Alaska: The Official Municipality of Anchorage, Alaska website",248837
www.muni.org,www.muni.org/departments/library/pages/default.aspx,Library,184699
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/mapsandschedules.aspx,MapsAndSchedules,148656
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/default.aspx,People Mover,61305
www.muni.org,www.muni.org/departments/finance/property_appraisal/pages/default.aspx,Property Appraisal,59682
www.muni.org,www.muni.org/departments/employee_relations/pages/jol.aspx,Jobs,54064
www.muni.org,www.muni.org/searchcenter/pages/results.aspx,Results,43203
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/realestatepropertytaxes.aspx,Real Estate Property Taxes,37627
www.muni.org,www.muni.org/pages/propertyinformation.aspx,Property Information,36890
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/adoptingapet.aspx,Adopting a Pet,35160
www.muni.org,www.muni.org/departments/police/pages/default.aspx,Anchorage Police Department,30601
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/default.aspx,Animal Control,29105
www.muni.org,www.muni.org/departments/assembly/clerk/elections/pages/default.aspx,Elections,25812
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route75.aspx,Route75,23607
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route7.aspx,Route7,22874
www.muni.org,www.muni.org/departments/assembly/clerk/elections/pages/electionresults.aspx,Election Results,22381
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route45.aspx,Route45,21660
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route3.aspx,Route 3,21087
www.muni.org,www.muni.org/departments/library/pages/loussaclibrary.aspx,Z.J. Loussac Public Library,18769
www.muni.org,www.muni.org/departments/purchasing/pages/bidding.aspx,Current Bidding Opportunities,17628
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route2.aspx,Route2,16727
www.muni.org,www.muni.org/departments/pages/default.aspx,Home,15853
www.muni.org,www.muni.org/departments/finance/property_appraisal/pages/propinfo.aspx,Property Information Research,14988
www.muni.org,www.muni.org/departments/transit/pages/default.aspx,People Mover,14456
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/default.aspx,Default,14359
