domain,page,page_title,pageviews
www.muni.org,www.muni.org/pages/default.aspx,"Anchorage, Alaska: The Official Municipality of Anchorage, Alaska website",87184
www.muni.org,www.muni.org/departments/library/pages/default.aspx,Library,58844
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/mapsandschedules.aspx,MapsAndSchedules,47126
www.muni.org,www.muni.org/departments/assembly/clerk/elections/pages/electionresults.aspx,Election Results,22612
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/default.aspx,People Mover,19725
www.muni.org,www.muni.org/departments/assembly/clerk/elections/pages/default.aspx,Elections,19083
www.muni.org,www.muni.org/departments/finance/property_appraisal/pages/default.aspx,Property Appraisal,19070
www.muni.org,www.muni.org/departments/employee_relations/pages/jol.aspx,Jobs,16905
www.muni.org,www.muni.org/searchcenter/pages/results.aspx,Results,13762
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/realestatepropertytaxes.aspx,Real Estate Property Taxes,13334
www.muni.org,www.muni.org/pages/propertyinformation.aspx,Property Information,13102
www.muni.org,www.muni.org/departments/police/pages/default.aspx,Anchorage Police Department,12140
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/adoptingapet.aspx,Adopting a Pet,10781
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/default.aspx,Animal Control,9593
www.muni.org,www.muni.org/departments/pages/default.aspx,MOA Departments Divisions and Offices,9590
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/default.aspx,Property Taxes,8738
www.muni.org,www.muni.org/departments/assembly/clerk/elections/pages/voterinfo.aspx,Voter Information,8339
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route75.aspx,Route75,7388
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route7.aspx,Route7,7118
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route45.aspx,Route45,6704
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route3.aspx,Route 3,6687
www.muni.org,www.muni.org/departments/sws/pages/default.aspx,Solid Waste Services,6682
www.muni.org,www.muni.org/departments/purchasing/pages/bidding.aspx,Current Bidding Opportunities,6054
www.muni.org,www.muni.org/departments/library/pages/loussaclibrary.aspx,Z.J. Loussac Public Library,5658
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route2.aspx,Route2,5447
