domain,page,page_title,pageviews
www.muni.org,www.muni.org/pages/default.aspx,"Anchorage, Alaska: The Official Municipality of Anchorage, Alaska website",19595
www.muni.org,www.muni.org/departments/library/pages/default.aspx,Library,13560
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/mapsandschedules.aspx,MapsAndSchedules,10854
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/default.aspx,People Mover,4443
www.muni.org,www.muni.org/departments/finance/property_appraisal/pages/default.aspx,Property Appraisal,4139
www.muni.org,www.muni.org/departments/employee_relations/pages/jol.aspx,Jobs,3885
www.muni.org,www.muni.org/searchcenter/pages/results.aspx,Results,3104
www.muni.org,www.muni.org/pages/propertyinformation.aspx,Property Information,2724
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/adoptingapet.aspx,Adopting a Pet,2563
www.muni.org,www.muni.org/departments/police/pages/default.aspx,Anchorage Police Department,2553
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/realestatepropertytaxes.aspx,Real Estate Property Taxes,2539
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/default.aspx,Animal Control,2367
www.muni.org,www.muni.org/departments/pages/default.aspx,MOA Departments Divisions and Offices,2260
www.muni.org,www.muni.org/departments/sws/pages/default.aspx,Solid Waste Services,1855
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route75.aspx,Route75,1721
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/default.aspx,Property Taxes,1681
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route45.aspx,Route45,1625
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route7.aspx,Route7,1606
www.muni.org,www.muni.org/departments/purchasing/pages/bidding.aspx,Current Bidding Opportunities,1598
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route3.aspx,Route 3,1524
www.muni.org,www.muni.org/departments/finance/property_appraisal/business/pages/default.aspx,Business Personal Property Appraisal,1428
www.muni.org,www.muni.org/departments/library/pages/loussaclibrary.aspx,Z.J. Loussac Public Library,1205
www.muni.org,www.muni.org/departments/finance/property_appraisal/business/pages/efiling.aspx,Business Personal Property E-filing,1196
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route2.aspx,Route2,1155
www.muni.org,www.muni.org/departments/finance/property_appraisal/pages/propinfo.aspx,Property Information Research,1149
www.muni.org,www.muni.org/departments/parks/pages/default.aspx,Parks and Recreation,1130
www.muni.org,www.muni.org/departments/health/admin/environment/airq/pages/airqualitypollen.aspx,AirQualityPollen,1106
www.muni.org,www.muni.org/departments/assembly/pages/default.aspx,Anchorage Assembly,1094
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route15.aspx,Route 15,1045
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route8.aspx,Route 8,979
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route1.aspx,Route1,973
www.muni.org,www.muni.org/departments/police/joinapd/pages/default.aspx,Join APD,966
www.muni.org,www.muni.org/departments/fire/pages/default.aspx,Anchorage Fire Department,958
www.muni.org,www.muni.org/departments/transit/pages/default.aspx,People Mover,919
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route60.aspx,Route60,834
www.muni.org,www.muni.org/contactus/pages/default.aspx,Employee Search,811
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route9.aspx,Route 9,803
www.muni.org,www.muni.org/departments/sws/disposal/pages/centraltransferstation.aspx,Central Transfer Station,799
www.muni.org,www.muni.org/departments/parks/pages/westpool.aspx,West Pool,751
www.muni.org,www.muni.org/residents/pages/default.aspx,Residents,735
www.muni.org,www.muni.org/departments/ocpd/development/bsd/pages/default.aspx,Building Safety,717
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route36.aspx,Route 36,715
www.muni.org,www.muni.org/departments/police/forms/pages/default.aspx,"APD Reports, Forms & Programs",713
www.muni.org,www.muni.org/residents/pages/munimeetings.aspx,Municipal Meetings,702
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route13.aspx,Route 13,659
www.muni.org,www.muni.org/departments/assembly/clerk/elections/pages/default.aspx,Elections,629
www.muni.org,www.muni.org/departments/police/howdoi/pages/traffic related questions.aspx,Traffic - FAQ,595
www.muni.org,www.muni.org/departments/fire/wildfire/pages/woodlots.aspx,Wood Lots,592
www.muni.org,www.muni.org/departments/ocpd/development/bsd/pages/permitting.aspx,Permitting,579
www.muni.org,www.muni.org/departments/ocpd/development/bsd/pages/codes.aspx,Building Codes,576
www.muni.org,www.muni.org/departments/sws/disposal/pages/arl.aspx,ARL,567
www.muni.org,www.muni.org/departments/finance/treasury/dcf/pages/dcfsearch.aspx,DCF Search,566
www.muni.org,www.muni.org/departments/health/pages/default.aspx,Health and Human Services,543
www.muni.org,www.muni.org/departments/ocpd/planning/pages/default.aspx,Planning,538
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/lost.aspx,Lost Pets,536
www.muni.org,www.muni.org/departments/police/forms/pages/onlinereportingsystem.aspx,Online Reporting System,529
www.muni.org,www.muni.org/departments/police/pages/contactinfo.aspx,Contact Information,529
www.muni.org,www.muni.org/departments/parks/pages/parkdistrictsw.aspx,Park District SW,487
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/fareandpass.aspx,fare and pass,481
www.muni.org,www.muni.org/departments/finance/treasury/pages/default.aspx,Treasury,479
www.muni.org,www.muni.org/departments/parks/pages/pools.aspx,Municipal Swimming Pools,463
www.muni.org,www.muni.org/cityviewportal/planning/locator,Planning Application Search - CityView Portal,442
www.muni.org,www.muni.org/departments/finance/pages/default.aspx,Finance,440
www.muni.org,www.muni.org/departments/ocpd/development/bsd/pages/onlineservice.aspx,Online Service,435
www.muni.org,www.muni.org/your_government/pages/default.aspx,Government,426
www.muni.org,www.muni.org/departments/ocpd/planning/zoning/pages/zoningdistricts.aspx,Zoning Districts,424
www.muni.org,www.muni.org/departments/hlb/pages/resforeclosedproperties.aspx,Foreclosed Properties,423
www.muni.org,www.muni.org/businesses/pages/default.aspx,Businesses,411
www.muni.org,www.muni.org/departments/sws/disposal/pages/default.aspx,Disposal Utility Information,399
www.muni.org,www.muni.org/departments/parks/pages/dimondpool.aspx,Dimond Pool,397
www.muni.org,www.muni.org/departments/sws/howdoi/pages/recycle.aspx,How Do I Recycle These Items?,391
www.muni.org,www.muni.org/departments/assembly/pages/memberprofiles.aspx,Assembly Member Profiles,389
www.muni.org,www.muni.org/departments/parks/pages/activityguide.aspx,Activity Guide,389
www.muni.org,www.muni.org/departments/ocpd/planning/projects/anchlanduse/pages/default.aspx,Anchorage Bowl Land Use Plan Map Project,387
www.muni.org,www.muni.org/departments/ocpd/development/pages/default.aspx,Development Services,362
www.muni.org,www.muni.org/departments/sws/howdoi/pages/dispose.aspx,How Do I Dispose of These items?,347
www.muni.org,www.muni.org/departments/mayor/pages/default.aspx,"Mayor's Corner",335
www.muni.org,www.muni.org/departments/ocpd/development/bsd/pages/permitactivityreports.aspx,Permit Activity Reports,334
www.muni.org,www.muni.org/departments/parks/pages/parklisting.aspx,Park Listing,332
www.muni.org,www.muni.org/departments/parks/pages/eastpool.aspx,East Pool,322
www.muni.org,www.muni.org/departments/parks/pages/reservations.aspx,Reservations,317
www.muni.org,www.muni.org/departments/erparks/pages/default.aspx,Eagle River Parks and Recreation,315
www.muni.org,www.muni.org/departments/ocpd/development/bsd/pages/inspections.aspx,Inspections,313
www.muni.org,www.muni.org/departments/parks/pages/parksandtrails.aspx,Parks and Trails,306
www.muni.org,www.muni.org/departments/sws/pages/hazardouswaste.aspx,Hazardous Waste,304
www.muni.org,www.muni.org/departments/sws/recycle/pages/default.aspx,Recycling at SWS,300
www.muni.org,www.muni.org/departments/ocpd/planning/projects/t21/pages/title21rewrite.aspx,Title 21 Rewrite,298
www.muni.org,www.muni.org/departments/parks/pages/camping.aspx,Camping,297
www.muni.org,www.muni.org/departments/parks/pages/runnerscalendar.aspx,Runners Calendar,295
www.muni.org,www.muni.org/departments/purchasing/pages/default.aspx,Purchasing Department,285
www.muni.org,www.muni.org/departments/parks/pages/trails.aspx,Trails,281
www.muni.org,www.muni.org/departments/ocpd/planning/zoning/pages/default.aspx,Current Planning,275
www.muni.org,www.muni.org/departments/sws/disposal/pages/disposalfees.aspx,Disposal Fees,275
www.muni.org,www.muni.org/departments/ocpd/development/onsite/pages/default.aspx,On-Site Water & Wastewater Program,273
www.muni.org,www.muni.org/departments/police/pages/knowyourgrow.aspx,Know Your Grow,272
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/proptaxesfreqaskedquestions.aspx,Property Taxes Frequently Asked Questions,268
www.muni.org,www.muni.org/departments/parks/pages/dogparks.aspx,Off-Leash Dog Areas,261
www.muni.org,www.muni.org/departments/police/stats/pages/crimemaps.aspx,Crime Maps,260
www.muni.org,www.muni.org/departments/ocpd/planning/pages/maps.aspx,Maps,255
www.muni.org,www.muni.org/departments/operations/streets/pages/default.aspx,Street Maintenance,249
www.muni.org,www.muni.org/departments/health/admin/environment/fss/pages/default.aspx,Food Safety and Sanitation,244
www.muni.org,www.muni.org/departments/transit/anchorrides/pages/default.aspx,AnchorRIDES,244
www.muni.org,www.muni.org/publicnotice/pages/default.aspx,Municipality of Anchorage Public Notices,244
www.muni.org,www.muni.org/departments/fire/wildfire/pages/burnpermits.aspx,Burn Permits,231
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route102.aspx,Route102,230
www.muni.org,www.muni.org/departments/ocpd/development/bsd/pages/handouts.aspx,Building Safety Handouts,227
www.muni.org,www.muni.org/maps/pages/default.aspx,Maps and Map Applications,227
www.muni.org,www.muni.org/departments/health/admin/environment/fss/pages/alternatefoodworkertesting.aspx,Alternate Food Worker Testing,226
www.muni.org,www.muni.org/departments/parks/pages/spenard.aspx,Spenard,223
www.muni.org,www.muni.org/departments/police/pages/payonline.aspx,Pay Your Tickets Online,223
www.muni.org,www.muni.org/departments/sws/pages/faq.aspx,FAQ,221
www.muni.org,www.muni.org/departments/police/traffic/pages/default.aspx,APD Traffic,217
www.muni.org,www.muni.org/departments/ocpd/pages/default.aspx,Community Planning & Development,216
www.muni.org,www.muni.org/departments/finance/treasury/dcf/pages/default.aspx,Delinquent Criminal or Civil Fines and Fees (DCF),215
www.muni.org,www.muni.org/departments/it/gis2/pages/default.aspx,GIS and Mapping Services,214
www.muni.org,www.muni.org/residents/pages/land.aspx,"Land Information, Zoning, Regs & Codes",213
www.muni.org,www.muni.org/epayments/pages/default.aspx,ePayments,206
www.muni.org,www.muni.org/departments/parks/pages/parksdirectory.aspx,Example page for parks directory,204
www.muni.org,www.muni.org/licenses/pages/default.aspx,Licenses and Permits,200
www.muni.org,www.muni.org/departments/ocpd/development/bsd/pages/planreview.aspx,Plan Review,196
www.muni.org,www.muni.org/departments/sws/recycle/pages/communitywiderecycling.aspx,Community Wide Recycling,194
www.muni.org,www.muni.org/departments/police/stats/pages/default.aspx,Crime Analysis and Statistics Home,193
www.muni.org,www.muni.org/departments/health/admin/environment/fss/pages/fssfood.aspx,fssfood,186
www.muni.org,www.muni.org/departments/sws/customerservice/pages/default.aspx,SWS Customer Service,186
www.muni.org,www.muni.org/departments/parks/pages/facilities.aspx,Facilities,185
www.muni.org,www.muni.org/departments/assembly/clerk/licensing/pages/default.aspx,Licensing,183
www.muni.org,www.muni.org/departments/finance/property_appraisal/forms_applic/pages/default.aspx,Property Appraisal Forms and Applications,183
www.muni.org,www.muni.org/departments/parks/pages/bartlettpool.aspx,Bartlett Pool,182
www.muni.org,www.muni.org/departments/police/pages/frequentlyaskedquestions.aspx,APD Frequently Asked Questions/How Do I...,181
www.muni.org,www.muni.org/events/pages/default.aspx,Events Directory,179
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/businesspropertytax.aspx,Business Property Tax,178
www.muni.org,www.muni.org/departments/health/admin/environment/airq/pages/default.aspx,Air Quality Index,177
www.muni.org,www.muni.org/departments/ocpd/development/bsd/pages/homeownersfaq.aspx,Home Owners FAQ,175
www.muni.org,www.muni.org/departments/parks/pages/feeschedule.aspx,Fee Schedule,175
www.muni.org,www.muni.org/departments/assembly/events/pages/default.aspx,Assembly Calendar,173
www.muni.org,www.muni.org/departments/police/forms/pages/accrptinfo.aspx,Accident Report Information,171
www.muni.org,www.muni.org/departments/police/pages/phonedirectory.aspx,APD Phone Directory,170
www.muni.org,www.muni.org/departments/hlb/pages/default.aspx,Real Estate Department,163
www.muni.org,www.muni.org/departments/fire/wildfire/pages/recreationalandcookingfires.aspx,Recreational and Cooking Fires,158
www.muni.org,www.muni.org/departments/parks/pages/activities.aspx,Activities,158
www.muni.org,www.muni.org/departments/assembly/pages/contactinfo.aspx,Contact Information,157
www.muni.org,www.muni.org/departments/police/pressreleases/pages/default.aspx,Press Releases,156
www.muni.org,www.muni.org/departments/finance/property_appraisal/exemption/pages/default.aspx,Property Appraisal Exemptions,155
www.muni.org,www.muni.org/public_safety/pages/default.aspx,Features,154
www.muni.org,www.muni.org/departments/library/pages/cebranchlibrary.aspx,Chugiak-Eagle River Branch Library,146
www.muni.org,www.muni.org/departments/oem/pages/default.aspx,Emergency Management,145
www.muni.org,www.muni.org/departments/employee_relations/pages/default.aspx,Employee Relations,144
